名称,销售量,销售额,商品单价,是否促销
粮油,1,3,3,否
粮油,1,6.7,6.7,否
日配,1,5.9,8.9,是
冲调,1,27.7,27.7,否
洗化,1,4.9,4.9,否
洗化,1,6.9,9.7,是
蔬果,0.902,8.98,9.96,否
日配,1,49,65,是
家居,1,70,70,否
休闲,1,10.9,10.9,否
蔬果,0.456,1.27,2.78,否
洗化,1,8.9,8.9,否
洗化,1,11.9,11.9,否
蔬果,0.24,2.3,9.6,否
粮油,1,17.3,17.3,否
洗化,1,18.9,24.9,是
休闲,1,6.9,6.9,否
蔬果,1.776,8.84,4.98,否
休闲,1,9.7,9.7,否
洗化,1,24.9,24.9,否
蔬果,0.496,3.87,7.8,否
粮油,1,3.7,3.7,否
日配,16,33.9,2.7,是
粮油,1,7.9,7.9,否
洗化,1,9.5,9.5,否
蔬果,0.708,1.83,2.58,否
蔬果,0.636,1.14,1.8,否
粮油,0.132,8.28,89.8,是
蔬果,1.922,6.11,3.18,否
蔬果,0.656,1.68,2.56,否
洗化,1,37.9,37.9,否
烘焙,0.384,6.14,16,否
蔬果,0.988,3.91,3.96,否
洗化,1,1.5,1.5,否
粮油,1,10.9,14.7,是
熟食,2,2,1,否
洗化,1,4.7,4.7,否
粮油,1,33.9,33.9,否
粮油,1.006,4.61,4.58,否
家居,1,9.9,9.9,否
熟食,0.258,20.64,80,否
家居,1,15,15,否
洗化,1,7.5,8.7,是
洗化,1,9.9,9.9,否
休闲,1,8.5,8.5,否
粮油,1,1.1,1.1,否
休闲,1,28.3,39.8,是
肉禽,0.356,12.46,35,否
肉禽,0.342,10.19,29.8,否
洗化,1,3.9,4.7,是
洗化,1,46.9,46.9,否
日配,16,43.2,2.7,否
冲调,1,22.7,22.7,否
文体,1,2.3,2.3,否
蔬果,0.612,1.58,2.58,否
休闲,1,4.5,4.5,否
蔬果,1,5.8,5.8,否
蔬果,0.92,14.68,15.96,否
粮油,1,21.9,21.9,否
粮油,0.292,5.78,19.8,否
蔬果,1.146,2.93,2.56,否
蔬果,0.858,10.28,11.98,否
蔬果,0.266,4.23,15.9,否
粮油,0.366,7.23,37.8,是
蔬果,0.786,1.41,1.8,否
日配,1,7.9,12.8,是
休闲,1,4,4,否
蔬果,0.796,5.22,6.56,否
日配,1,11.9,11.9,否
熟食,0.53,3.18,6,否
洗化,1,3,3,否
洗化,1,10.9,10.9,否
蔬果,0.447,1.32,2.96,否
蔬果,0.22,0.88,3.98,否
蔬果,0.641,3.82,5.96,否
粮油,1,2.8,2.8,否
粮油,1,0.5,0.5,否
蔬果,1,1.5,1.5,否
日配,0.544,14,32.6,是
休闲,0.27,3.19,11.8,否
蔬果,0.208,1.66,7.96,否
蔬果,0.12,0.67,5.56,否
休闲,0.928,31.37,33.8,否
水产,0.5,15,30,否
蔬果,2.018,4.04,2,否
蔬果,0.366,2.92,7.98,否
蔬果,0.278,4.42,15.9,否
熟食,0.178,7.12,40,否
蔬果,0.706,2.8,3.96,否
文体,1,3.3,3.3,否
蔬果,0.286,2.86,10,否
蔬果,0.622,1.7,2.56,否
日配,3,8.4,2.8,否
蔬果,0.064,0.23,3.56,否
粮油,1,0.5,0.5,否
蔬果,0.072,0.14,2,否
蔬果,0.686,1.36,1.98,否
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
休闲,1,10.9,10.9,否
洗化,1,10.9,10.9,否
酒饮,1,4,5.5,是
蔬果,0.871,5.19,5.96,否
蔬果,0.294,0.76,2.58,否
日配,1,9.9,9.9,否
日配,1,62,62,否
洗化,1,4.5,4.5,否
冲调,1,36.5,36.5,否
家电,4,18,4.5,否
蔬果,0.698,12.42,17.8,否
蔬果,0.752,10.51,17.8,否
粮油,1,3.9,5.9,是
酒饮,1,4.9,4.9,否
休闲,1,12.5,12.5,否
蔬果,1.353,23.81,17.6,否
日配,2.214,43.84,19.8,否
洗化,1,3.9,3.9,否
休闲,1,5.5,5.5,否
蔬果,0.804,1.45,1.8,否
粮油,1,1.3,1.3,否
蔬果,0.224,4.03,18,否
休闲,1,2.7,2.7,否
蔬果,1.6,25.54,15.96,否
冲调,1,30.7,30.7,否
休闲,1,5.7,5.7,否
休闲,1,5.7,5.7,否
蔬果,0.299,1.79,5.98,否
休闲,1,3.9,3.9,否
粮油,1,4.9,4.9,否
粮油,0.306,6.05,37.8,是
洗化,1,1.7,1.7,否
休闲,0.344,4.06,13.8,是
休闲,1,8.7,8.7,否
日配,1,11.8,11.8,否
休闲,1,10.9,10.9,否
蔬果,0.444,4,9,否
日配,1,11.8,11.8,否
休闲,1,6.9,6.9,否
洗化,1,7.9,7.9,否
粮油,1,9.9,12.9,是
蔬果,0.452,1.81,4,否
粮油,1,3.9,3.9,否
蔬果,0.328,0.84,2.56,否
蔬果,0.614,2.43,3.96,否
蔬果,4,8,2,否
蔬果,0.83,1.64,1.98,否
蔬果,0.457,1.18,2.58,否
家电,1,13,13,否
蔬果,0.462,4.6,9.96,否
日配,0.75,5.09,6.78,否
休闲,1,5.3,5.3,否
洗化,1,7.9,9.9,是
蔬果,0.47,1.21,2.58,否
粮油,1,5.7,5.7,否
休闲,1,6.9,6.9,否
蔬果,1.352,4.3,3.18,否
洗化,1,18.9,24.9,是
熟食,4,2,0.5,否
熟食,4,2,0.5,否
酒饮,1,4,4,否
蔬果,1.078,3.41,3.16,否
蔬果,1.244,15.1,4.98,否
粮油,1,9.5,9.5,否
日配,0.862,5.84,6.78,否
酒饮,4,8.8,2.2,否
粮油,1,2.7,2.7,否
粮油,0.282,17.7,89.8,是
冲调,1,19.9,19.9,否
冲调,1,32,32,否
熟食,0.001,0.02,20,否
蔬果,0.573,3.76,6.56,否
粮油,0.308,6.09,37.8,是
蔬果,0.58,3.36,5.8,否
日配,1.084,21.46,19.8,否
蔬果,0.608,9.72,15.98,否
粮油,1,2,2,否
蔬果,0.91,2.33,2.56,否
蔬果,0.416,1.06,2.56,否
粮油,0.534,3.63,6.8,否
粮油,1,3.9,3.9,否
日配,1.038,7.04,6.78,否
粮油,1,2.7,2.7,否
蔬果,0.439,1.66,10,否
休闲,1,10.4,10.4,否
休闲,1,4.5,5.9,是
日配,3,8.4,2.8,否
酒饮,1,1.9,2.5,是
蔬果,0.214,1.93,9,否
酒饮,1,4,4,否
蔬果,1.518,24.23,15.96,否
休闲,0.44,8.7,35.8,是
蔬果,0.626,2.48,3.96,否
蔬果,0.456,7.25,15.9,否
水产,0.768,23.04,30,否
蔬果,0.872,1.71,1.96,否
日配,1.212,10.3,8.5,否
休闲,1,4.9,4.9,否
休闲,1,5.7,5.7,否
洗化,1,7.5,8.7,是
休闲,1,6,6,否
休闲,0.144,2.27,19.8,是
蔬果,0.851,2.2,2.58,否
蔬果,1.028,2.65,2.58,否
文体,1,4.7,4.7,否
蔬果,0.662,1.3,1.96,否
蔬果,0.706,39.54,56,否
洗化,1,11.5,15.9,是
洗化,1,6.9,9.7,是
洗化,1,19.9,19.9,否
洗化,1,4.5,5.9,是
酒饮,1,15,15,否
蔬果,0.456,4.54,9.96,否
蔬果,0.08,0.62,7.76,否
日配,3,17.7,8.9,是
肉禽,0.27,8.05,29.8,否
蔬果,1.262,22.21,17.6,否
蔬果,0.206,1.19,5.8,否
粮油,1,9.9,12.9,是
蔬果,0.574,1.47,2.56,否
蔬果,0.998,2,2,否
洗化,1,6.9,6.9,否
洗化,1,7.5,8.7,是
粮油,1,2,2,否
熟食,0.465,2.79,6,否
冲调,1,23.3,23.3,否
蔬果,1.868,33.25,17.8,否
休闲,1,1.5,1.5,否
洗化,1,3.9,4.7,是
蔬果,1.842,5.86,3.18,否
蔬果,0.496,1.28,2.58,否
蔬果,0.443,1.23,2.78,否
洗化,1,7.5,8.7,是
蔬果,0.504,6.04,11.98,否
蔬果,0.652,3.91,6,否
日配,1,6.7,6.7,否
日配,0.398,10.26,32.6,是
粮油,1.004,9.9,9.9,否
洗化,1,6.5,7.7,是
粮油,1,39.9,39.9,否
日配,0.774,14.71,19,否
休闲,1,9.9,9.9,否
蔬果,0.598,1.08,1.8,否
日配,1,4.9,5.7,是
蔬果,1.173,3,2.56,否
粮油,5,7,1.7,是
冲调,1,19.9,19.9,否
日配,2.44,16.54,6.78,否
粮油,1,2.9,2.9,否
蔬果,2.862,5.61,1.96,否
蔬果,0.252,3.02,12,否
休闲,1,6.9,6.9,否
粮油,1,2.5,2.5,否
粮油,1,0.5,0.5,否
休闲,0.186,3.16,17,否
洗化,1,3.9,3.9,否
蔬果,0.312,1.74,5.56,否
蔬果,1.878,18.74,9.98,否
粮油,1,8.2,8.2,否
休闲,0.372,5.88,15.8,否
酒饮,1,4.5,4.5,否
休闲,0.144,2.24,25.8,是
蔬果,0.348,3.47,9.96,否
酒饮,2,4,2,否
粮油,1,1.3,1.3,否
休闲,1,5.3,5.3,否
冲调,1,9.9,9.9,否
酒饮,4,10,2.5,否
蔬果,1.32,13.17,14.99,否
休闲,1,9.9,9.9,否
粮油,1,1.7,1.7,否
针织,1,59.9,69,是
蔬果,0.44,2.89,6.56,否
蔬果,0.402,1.19,2.96,否
洗化,1,14.9,14.9,否
休闲,0.086,1.7,31.8,是
蔬果,0.082,2.23,27.2,否
酒饮,1,12.9,12.9,否
洗化,1,19.7,19.7,否
蔬果,0.45,3.42,7.6,否
休闲,0.382,9.8,25.8,否
洗化,1,9.9,9.9,否
日配,1.014,6.87,6.78,否
粮油,1,22.5,22.5,否
粮油,1,1.3,1.3,否
粮油,1.004,4.42,4.4,否
休闲,1,11.9,11.9,否
蔬果,1.236,14.81,11.98,否
蔬果,1.406,21.08,14.99,否
蔬果,0.648,6.45,9.96,否
蔬果,0.39,0.77,1.98,否
洗化,1,15.9,19.9,是
蔬果,0.244,2.93,12,否
蔬果,1.108,13.27,11.98,否
蔬果,0.536,16.08,30,否
粮油,1,0.9,0.9,否
冲调,1,3,3,否
洗化,4,6.8,1.7,否
肉禽,0.77,22.95,29.8,否
蔬果,0.5,3.28,6.56,否
日配,1,16.3,16.3,否
休闲,1,17.9,17.9,否
蔬果,0.198,1.3,6.56,否
蔬果,0.556,0.82,1.48,否
熟食,0.546,10.92,20,否
洗化,1,8.5,8.9,是
酒饮,1,10.5,10.5,否
粮油,1,3.9,5.5,是
日配,1,12.9,12.9,否
休闲,1,10.9,10.9,否
休闲,1,16,16,否
蔬果,0.69,6.87,9.96,否
粮油,1,22.5,22.5,否
冲调,1,13.9,13.9,否
休闲,1,5.9,5.9,否
休闲,1,7.5,7.5,否
蔬果,0.565,1.67,2.96,否
日配,1,16.3,16.3,否
休闲,1,6.3,6.3,否
休闲,1,5.9,5.9,否
家居,1,8,8,否
粮油,0.28,5.5,37.8,是
休闲,1,10.4,10.4,否
蔬果,1.638,9.5,5.8,否
粮油,1,0.5,0.5,否
洗化,1,9.9,9.9,否
肉禽,0.46,13.71,29.8,否
蔬果,0.446,8.03,18,否
粮油,1,2.3,2.3,否
日配,1,10.3,10.3,否
休闲,1,11.5,11.5,否
粮油,1,3.7,3.7,否
休闲,1,28,28,否
休闲,1,3,3,否
蔬果,2,3,1.5,否
休闲,1,3.3,3.3,否
蔬果,0.598,10.52,17.6,否
粮油,1,3.7,3.7,否
休闲,1,9.7,9.7,否
休闲,1,5.9,5.9,否
蔬果,1,5.5,5.5,否
蔬果,0.366,2.05,5.6,否
蔬果,0.93,9.28,9.98,否
蔬果,1.006,2.58,2.56,否
粮油,1,3.5,3.5,否
洗化,1,40,40,否
粮油,1,7.9,7.9,否
粮油,1,6.7,6.7,否
蔬果,0.693,4.55,6.56,否
蔬果,0.364,1.82,5,否
日配,1,4.9,4.9,否
休闲,1,1,1,否
休闲,1,7.9,7.9,否
蔬果,0.56,6.71,11.98,否
日配,0.562,14.46,32.6,是
蔬果,1.512,13.61,9,否
洗化,1,8.9,8.9,否
蔬果,0.28,2.18,7.8,否
休闲,1,5,5,否
休闲,1,3.3,3.3,否
洗化,1,1.5,1.5,否
蔬果,0.626,2.82,2.58,否
蔬果,0.53,3.38,23,否
日配,1,12.8,12.8,否
蔬果,1.74,10.37,5.96,否
休闲,0.182,2.51,19.8,是
文体,1,1.7,1.7,否
日配,0.914,6.2,6.78,否
粮油,1,3,3,否
冲调,1,4.9,4.9,否
熟食,0.284,5.68,20,否
洗化,1,19.9,19.9,否
粮油,1,6.8,6.8,否
休闲,1,8.3,8.3,否
休闲,1,8.9,8.9,否
水产,0.168,5.04,30,否
蔬果,0.21,11.76,56,否
蔬果,0.646,3.75,5.8,否
粮油,5,6.5,1.3,否
粮油,1,10.9,12.5,是
休闲,1,3.7,3.7,否
洗化,1,39.9,51.9,是
粮油,1,21.9,22.3,否
休闲,1,8.7,8.7,否
蔬果,1.472,5.83,3.96,否
粮油,1,5.5,5.5,否
蔬果,0.914,2.89,3.16,否
洗化,1,108,108,否
蔬果,5,100,20,否
粮油,1,7.3,7.3,否
酒饮,1,6.9,6.9,否
休闲,1,7.9,7.9,否
粮油,1,2.3,2.3,否
粮油,1,22.3,22.3,否
熟食,0.51,10.2,20,否
蔬果,2.152,34.35,15.96,否
休闲,1,10.5,10.5,否
蔬果,1.212,14.52,11.98,否
洗化,1,23.9,23.9,否
日配,1,11.9,11.9,否
肉禽,0.28,7.78,27.8,否
粮油,0.338,6.6,37.8,是
休闲,1,4.9,4.9,否
蔬果,1.297,2.33,1.8,否
粮油,1,8.5,8.5,否
粮油,1,0.5,0.5,否
蔬果,0.392,1.55,3.96,否
蔬果,0.118,5.9,50,否
粮油,1,14.7,14.7,否
酒饮,1,8.9,12.9,是
肉禽,0.516,9.08,17.6,否
蔬果,0.424,4.22,9.96,否
粮油,1,3.9,5.9,是
粮油,0.064,6.34,99,否
休闲,0.214,6.38,29.8,否
蔬果,1.184,11.82,9.98,否
粮油,0.906,14.31,15.8,否
蔬果,1.566,18.79,12,否
日配,12,49,5.5,是
休闲,1,9.5,9.5,否
粮油,1,6.9,6.9,否
洗化,1,5.7,5.7,否
休闲,1,7.5,7.5,否
休闲,1,16.9,16.9,否
休闲,1,4.3,4.3,否
蔬果,0.122,0.68,5.56,否
粮油,1,4.8,4.8,否
洗化,1,4.9,4.9,否
蔬果,0.582,32.59,56,否
粮油,1,87.9,87.9,否
肉禽,0.274,9.81,35.8,否
洗化,1,43,43,否
休闲,1,1,1,否
酒饮,1,9.8,9.8,否
日配,1,17.9,17.9,否
蔬果,1.656,11.56,6.98,否
冲调,1,4.9,4.9,否
休闲,1,3.8,3.8,否
蔬果,0.596,13.71,23,否
日配,1,11.9,11.9,否
蔬果,2.542,4.98,1.96,否
蔬果,1.19,10.61,17.6,否
休闲,1,4.5,4.5,否
洗化,1,5.9,5.9,否
蔬果,0.776,1.37,1.76,否
日配,1,16.3,16.3,否
蔬果,0.635,3.81,6,否
洗化,1,5,6.9,是
粮油,1,7.3,7.3,否
文体,1,1.3,1.3,否
蔬果,1.088,3.46,3.18,否
蔬果,1,5.8,5.8,否
粮油,1,3.2,3.2,否
蔬果,0.272,2.71,9.96,否
日配,0.982,6.66,6.78,否
蔬果,-0.001,0,3.96,否
蔬果,0.001,0,3.96,否
蔬果,0.51,4.9,9.6,否
蔬果,0.716,1.43,2,否
日配,16,44.8,2.8,否
洗化,1,8.9,8.9,否
蔬果,0.601,2.4,4,否
粮油,0.282,5.5,37.8,是
蔬果,0.152,0.58,3.8,否
休闲,1,2,2,否
洗化,1,15.6,15.9,是
家居,1,8.9,10,是
酒饮,1,1.9,2.5,是
